fixture_id,overlap_class,primary_attribution,attribution_tags,cc_output_tokens,cc_max_new_tokens,cc_final_answer_marker_present,baseline_label,dflash_label,expected_answer
gsm8k_short_test_0082,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|expected_numeric_present_without_marker|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,6
gsm8k_short_test_0098,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,"1,600"
gsm8k_short_test_0089,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_wrong_numeric,strict_wrong_numeric,170
gsm8k_short_test_0028,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,18
gsm8k_short_test_0078,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,64
gsm8k_short_test_0035,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,34
gsm8k_short_test_0008,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,145
gsm8k_short_test_0099,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,90
gsm8k_short_test_0045,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_wrong_numeric,strict_wrong_numeric,192
gsm8k_short_test_0048,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|expected_numeric_present_without_marker|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,25
gsm8k_short_test_0031,shared_with_references,shared_target_or_prompt_cap_behavior,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|shared_target_or_prompt_cap_behavior|strict_wrong_numeric_also_detected,256,256,False,cap_limited_incomplete,cap_limited_incomplete,145
gsm8k_short_test_0093,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,310
gsm8k_short_test_0056,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,36
gsm8k_short_test_0066,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|verbose_or_long_reasoning_near_cap|cc_output_longer_than_references|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,112
gsm8k_short_test_0092,cc_only,truncated_before_final_answer,truncated_before_final_answer|final_answer_marker_missing|expected_numeric_present_without_marker|verbose_or_long_reasoning_near_cap|strict_wrong_numeric_also_detected,256,256,False,strict_correct,strict_correct,12
