claim,evidence_source,reason,status,suggested_wording
CC-DFlash improves e2e over LLMLingua-AR-R2 on GSM8K n30.,Task 69 GSM8K matrix and Task 66 compressed rerun artifacts,Task 69/66 artifacts show CC-DFlash-R2 has higher e2e tok/s than LLMLingua-AR-R2 at the same n=30 quality setting.,allowed_with_caveat,"In the bounded GSM8K n=30 setting, CC-DFlash-R2 improved e2e latency versus LLMLingua-AR-R2 while matching compressed-path numeric quality."
DFlash-R1 is fastest on GSM8K n30.,Task 69 GSM8K matrix,"DFlash-R1 has the highest e2e tok/s in the GSM8K n=30 matrix, but this is not a universal claim.",allowed_with_caveat,DFlash-R1 was the fastest GSM8K n=30 condition in this local run.
Compression always improves e2e latency.,Task 69/66 GSM8K artifacts,"LLMLingua compression overhead can dominate e2e latency, especially on short-context GSM8K.",forbidden,Avoid this claim.
QMSum proves semantic correctness.,Task 79B reporting decision,QMSum quality is only lexical/normalized-text proxy quality without manual or semantic judging.,forbidden,Avoid this claim.
QMSum is useful as long-context diagnostic benchmark.,Tasks 71-79B,"QMSum stresses long-context latency, prefill, compression overhead, compression ratio, and proxy quality.",allowed,"QMSum is used as a long-context diagnostic benchmark, not as final semantic correctness proof."
Task 78 proves compression never deletes evidence.,Task 78 evidence-retention audit,Task 78 audited selected cases only and uses lexical evidence heuristics.,forbidden,Avoid this claim.
Task 78 did not support broad compressed-evidence deletion as main explanation in selected audited cases.,Task 78 evidence-retention audit,"Selected reconstructed cases showed retained/partial evidence, source/reference mismatch, and unclear cases, with no broad missing-compressed-evidence label.",allowed_with_caveat,Task 78 did not support broad compressed-evidence deletion as the main explanation in selected audited QMSum cases.
Remaining QMSum failures are consistent with constrained local target-model evidence-grounding limitations.,Tasks 76-79B,Task 78 found retained evidence in some failed cases and Task 79B freezes QMSum as diagnostic only.,allowed_with_caveat,"Remaining QMSum failures are consistent with constrained local evidence-location/grounding limits, possible source mismatch, and lexical proxy limits."
Final system is deployment ready.,Project claim policy,No deployment readiness evaluation was performed.,forbidden,Avoid this claim.
8 GB deployment is confirmed.,Project claim policy,The project has not proven deployment readiness or confirmed 8 GB fit.,forbidden,Avoid this claim.
CC-DFlash is universally better than Baseline.,Task 69 GSM8K matrix and Task 79B QMSum decision,Results are conditional and dataset-dependent; DFlash-R1 is faster on short-context GSM8K.,forbidden,Avoid this claim.
CC-DFlash is useful only under conditions where compression and DFlash gains outweigh compression overhead.,Cross-dataset synthesis,This is the conservative system-level tradeoff supported by the evidence.,allowed,CC-DFlash should be treated as a conditional system-level tradeoff.
