domain,metric,value
gsm8k,optimized_gsm8k_candidate,T106B_gsm8k_concise_final_answer_v1
gsm8k,strict,88/100
gsm8k,cap_limited,2/100
gsm8k,wrong_numeric,10/100
gsm8k,final_answer_marker,98/100
gsm8k,avg_e2e_s,2.145689
gsm8k,avg_t_compress_ms,17.45762
gsm8k,max_vram_gib,4.439453
gsm8k,t109_status,not_adopted
gsm8k,t107b_status,not_adopted
gsm8k,default_switch,blocked
qmsum,qmsum_semantic_correctness,NOT_CLAIMED
qmsum,qmsum_final_status,FINAL_LIMITATION_AFTER_REPAIR_AND_JUDGE_ATTEMPT
qmsum,t108b_repair_status,NOT_VALIDATED_AS_REPAIR
qmsum,judge_status,AUXILIARY_EVIDENCE_ONLY
qmsum,t105b_avg_e2e_s,5.23531
qmsum,baseline_ar_avg_e2e_s,3.770054
qmsum,dflash_r1_avg_e2e_s,5.188113
validation,validation_model_status,LOCAL_JUDGE_PIPELINE_AVAILABLE_BUT_AUXILIARY_ONLY
validation,model,models/validation/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-Q4_K_XL.gguf
validation,engine,llama_cpp
validation,n_ctx,8192
validation,n_gpu_layers,-1
validation,t110a_commit,1749941
validation,t110b_commit,95253b5
validation,t110c_commit,23fe0e0
validation,t110d_commit,2bace9f
