dataset,fixture_id,verification_calls,acceptance_lengths,tau,draft_acceptance_rate,rollback_tokens
gsm8k,gsm8k_test_000000_12c0b583,76,2 1 1 1 1 1 2 3 1 2 1 1 1 3 1 3 4 2 3 2 2 2 5 4 1 1 1 9 4 2 4 10 1 2 3 5 2 8 3 9 6 2 1 1 3 2 4 3 4 1 1 5 1 7 1 1 6 5 2 2 5 3 4 2 5 7 7 7 6 1 7 7 7 7 7 7,3.4342105263157894,0.16228070175438597,955
gsm8k,gsm8k_test_000001_183930a6,46,2 2 1 1 1 2 2 2 2 2 1 2 2 4 2 4 2 6 2 1 4 3 7 5 1 4 6 1 5 2 1 4 1 1 5 16 16 16 16 16 16 16 16 16 16 16,5.8478260869565215,0.32318840579710145,467
gsm8k,gsm8k_test_000002_838a7b6e,64,3 1 1 1 1 3 1 5 1 1 1 9 2 2 7 2 11 16 2 2 4 4 2 3 7 1 2 5 1 4 2 4 11 6 4 4 2 9 2 3 1 4 7 3 16 8 3 5 1 1 9 3 8 4 1 1 4 3 2 1 2 9 5 8,4.078125,0.20520833333333333,763
gsm8k,gsm8k_test_000003_a6e8be50,76,2 1 1 1 1 3 2 3 2 8 3 2 5 4 1 5 5 4 2 3 5 4 2 1 1 7 7 3 5 3 1 1 5 1 8 1 1 2 3 1 2 3 3 6 5 3 7 10 1 3 1 1 1 6 4 4 1 5 5 3 3 11 2 10 4 2 2 5 2 1 3 4 1 3 4 6,3.3815789473684212,0.1587719298245614,959
gsm8k,gsm8k_test_000004_2382a957,80,2 1 1 1 1 1 1 2 3 1 3 1 2 1 2 2 6 7 5 1 1 5 1 8 2 3 2 1 6 1 3 1 1 1 6 9 2 9 4 2 1 1 3 2 8 4 1 5 2 6 9 8 1 1 4 2 6 1 1 3 3 2 1 5 2 4 2 1 5 11 1 2 4 11 5 9 1 1 2 4,3.2125,0.1475,1023
gsm8k,gsm8k_test_000005_b54db050,79,2 2 3 3 3 2 5 1 2 5 5 3 1 3 2 1 2 2 3 5 1 4 4 3 2 5 1 1 3 8 5 5 3 2 1 6 8 7 5 2 1 7 1 2 4 2 2 5 6 3 2 4 4 7 6 1 3 6 1 3 3 1 1 1 4 1 7 1 1 1 4 4 2 2 7 2 3 4 7,3.2531645569620253,0.150210970464135,1007
gsm8k,gsm8k_test_000006_f8601ce7,74,1 1 2 1 1 1 1 2 3 1 3 3 7 2 1 3 8 3 4 3 3 2 3 3 1 2 4 1 2 4 8 13 5 6 2 1 4 2 3 6 4 1 2 4 1 3 1 1 12 5 6 4 11 1 2 5 2 16 4 3 1 2 3 2 1 5 12 1 1 1 1 1 9 6,3.5135135135135136,0.16756756756756758,924
gsm8k,gsm8k_test_000007_ebe5532d,80,2 2 1 1 3 2 2 3 4 2 2 3 1 1 4 1 2 2 6 4 3 3 5 8 2 1 3 1 2 2 5 5 12 6 1 1 2 2 1 6 1 3 1 1 11 4 1 2 16 4 1 7 1 1 3 1 1 3 9 3 3 1 3 1 3 6 4 1 4 6 3 1 2 1 7 3 2 6 3 4,3.2125,0.1475,1023
gsm8k,gsm8k_test_000008_a18e44a5,75,2 1 1 1 2 3 2 4 1 3 1 2 5 5 3 1 3 4 1 1 2 2 1 2 8 6 5 2 2 2 4 2 1 5 1 1 2 8 2 2 2 2 4 10 9 5 2 2 1 2 13 4 4 12 4 7 1 1 4 1 1 4 2 5 2 1 9 1 1 5 1 7 6 1 14,3.4133333333333336,0.1608888888888889,944
gsm8k,gsm8k_test_000009_1e39b726,69,2 2 2 1 1 3 8 1 3 2 1 2 2 4 4 6 4 1 1 2 1 4 1 3 1 1 1 4 4 1 4 11 3 9 2 6 3 8 3 12 14 13 5 2 4 1 2 4 1 7 1 1 2 1 1 4 1 3 1 5 2 4 3 11 3 9 2 10 7,3.739130434782609,0.1826086956521739,846
qmsum,qmsum_test_meeting0000_specific_00_24bd89de,44,1 1 1 1 1 4 1 1 3 1 1 1 3 3 3 3 3 3 8 4 6 6 6 6 12 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16,8.795454545454545,0.5196969696969697,317
qmsum,qmsum_test_meeting0000_specific_01_1b6f4c97,143,1 1 1 2 1 1 2 3 1 1 2 2 2 1 1 2 4 1 1 2 3 1 5 2 1 4 2 2 3 2 1 1 3 9 10 6 13 1 1 1 1 2 2 1 4 2 1 2 3 1 1 2 2 1 1 1 4 3 1 1 2 2 3 1 1 4 6 4 2 4 2 3 4 4 2 4 2 3 3 7 1 2 2 2 4 3 7 6 1 1 1 1 4 1 1 1 4 4 5 3 3 2 2 1 4 1 1 3 1 16 6 12 2 2 3 3 7 1 1 3 3 3 1 3 2 5 2 1 1 3 1 4 2 4 2 2 2 3 2 1 2 3 2,2.6853146853146854,0.11235431235431236,1904
qmsum,qmsum_test_meeting0000_specific_02_86570dc2,89,1 1 1 1 2 1 3 2 2 1 3 2 1 6 2 2 3 3 1 1 1 1 2 1 2 1 1 1 3 1 1 1 5 3 15 14 9 1 1 1 6 2 1 14 3 5 1 7 3 2 8 1 14 8 1 12 9 2 1 2 3 2 8 3 10 8 1 16 6 12 1 9 14 7 2 2 3 4 5 1 1 9 14 7 14 2 1 1 16,4.359550561797753,0.22397003745318353,1036
qmsum,qmsum_test_meeting0000_specific_03_65958b7c,116,1 1 1 2 1 1 3 1 3 1 2 4 1 4 3 6 8 3 1 2 2 1 1 3 1 1 1 1 7 2 3 1 2 2 2 3 1 1 3 1 1 4 5 2 1 2 1 1 2 4 2 3 2 1 2 1 3 2 1 4 3 2 1 1 3 2 2 5 1 1 3 1 2 2 4 1 1 3 1 1 3 1 4 4 1 6 3 2 3 3 1 1 2 3 3 2 2 1 1 2 1 5 12 12 7 10 14 3 13 13 14 11 4 16 14 15,3.310344827586207,0.15402298850574714,1472
qmsum,qmsum_test_meeting0000_specific_04_d876a539,73,1 2 2 1 2 1 2 2 2 1 2 3 2 1 6 8 6 1 2 2 1 1 2 3 3 2 1 3 4 2 1 1 2 1 1 3 2 5 3 1 1 6 16 6 15 13 12 6 1 1 3 1 5 16 16 16 16 6 1 2 2 1 13 15 16 16 15 5 1 16 16 16 16,5.4520547945205475,0.2968036529680365,770
qmsum,qmsum_test_meeting0000_specific_05_4b169ecb,97,1 1 3 2 2 1 2 2 1 1 2 1 2 3 5 1 8 6 1 3 1 2 2 1 2 1 2 1 1 3 3 2 4 1 1 2 2 6 1 2 1 1 3 1 10 1 1 13 1 2 2 1 1 5 3 1 1 3 6 3 7 4 3 1 1 1 4 3 4 4 1 4 1 8 16 3 4 11 16 13 15 1 2 3 7 16 8 16 12 10 16 1 1 2 3 7 16,4.051546391752577,0.2034364261168385,1159
qmsum,qmsum_test_meeting0000_specific_06_8cdb8b6e,91,1 1 1 2 1 1 6 2 1 3 3 2 3 2 2 1 6 2 2 1 2 1 3 3 2 6 1 1 1 1 9 15 14 9 10 1 2 3 1 2 1 2 1 2 1 4 2 2 1 1 3 1 2 3 3 1 3 4 2 3 1 1 1 1 1 3 4 6 7 5 13 16 1 1 1 2 7 12 16 15 7 4 16 6 16 13 1 1 7 16 16,4.274725274725275,0.21831501831501832,1067
