fixture_id,before_label,fixed_label,baseline_label,dflash_label,before_extracted_answer,fixed_extracted_answer,primary_attribution,attribution_tags
gsm8k_short_test_0001,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,2180,2180,reference_also_wrong,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;persistent_wrong_numeric;reference_also_wrong
gsm8k_short_test_0004,strict_correct,strict_wrong_numeric,strict_correct,strict_correct,12,3,expected_answer_appears_but_final_wrong,compressed_context_missing_needed_detail;compression_path_specific_wrong_numeric;expected_answer_appears_but_final_wrong;wrong_final_despite_correct_intermediate
gsm8k_short_test_0020,strict_correct,strict_wrong_numeric,strict_correct,strict_correct,40,28,compressed_context_missing_needed_detail,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;compression_path_specific_wrong_numeric
gsm8k_short_test_0034,strict_correct,strict_wrong_numeric,strict_correct,strict_correct,7,10.4,compressed_context_missing_needed_detail,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;compression_path_specific_wrong_numeric
gsm8k_short_test_0043,strict_correct,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,280,56,reference_also_wrong,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;policy_overcompressed_reasoning;reference_also_wrong
gsm8k_short_test_0045,cap_limited_incomplete,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,8,176,resolved_cap_but_wrong_number,answer_changed_after_cap_fix;arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;policy_overcompressed_reasoning;reference_also_wrong;resolved_cap_but_wrong_number
gsm8k_short_test_0061,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,58,58,reference_also_wrong,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;persistent_wrong_numeric;reference_also_wrong
gsm8k_short_test_0068,strict_correct,strict_wrong_numeric,strict_correct,strict_correct,130,117,policy_overcompressed_reasoning,arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;compression_path_specific_wrong_numeric;policy_overcompressed_reasoning
gsm8k_short_test_0089,cap_limited_incomplete,strict_wrong_numeric,strict_wrong_numeric,strict_wrong_numeric,3,140,resolved_cap_but_wrong_number,answer_changed_after_cap_fix;arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;policy_overcompressed_reasoning;reference_also_wrong;resolved_cap_but_wrong_number
gsm8k_short_test_0098,cap_limited_incomplete,strict_wrong_numeric,cap_limited_incomplete,cap_limited_incomplete,1200,1200,resolved_cap_but_wrong_number,answer_changed_after_cap_fix;arithmetic_error_in_reasoning;compressed_context_missing_needed_detail;policy_overcompressed_reasoning;resolved_cap_but_wrong_number
