fixture_id,meeting_id,query_type,query_index,truncated,original_words,retained_words,boundary,strategy,caveat
qmsum_test_meeting0000_specific_00_24bd89de,meeting0000,specific,0,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_01_1b6f4c97,meeting0000,specific,1,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_02_86570dc2,meeting0000,specific,2,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_03_65958b7c,meeting0000,specific,3,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_04_d876a539,meeting0000,specific,4,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_05_4b169ecb,meeting0000,specific,5,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_06_8cdb8b6e,meeting0000,specific,6,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_07_370640be,meeting0000,specific,7,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_08_8242aef6,meeting0000,specific,8,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_09_8d3ad62d,meeting0000,specific,9,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_10_92ae6f78,meeting0000,specific,10,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0000_specific_11_acba5d5c,meeting0000,specific,11,True,10188,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_00_a2343587,meeting0001,specific,0,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_01_0e55d871,meeting0001,specific,1,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_02_a5bedb8b,meeting0001,specific,2,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_03_4b7e9938,meeting0001,specific,3,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_04_b3828ce3,meeting0001,specific,4,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0001_specific_05_4603d5b5,meeting0001,specific,5,True,6030,1499,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0002_specific_00_4389fd52,meeting0002,specific,0,True,5377,1382,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0002_specific_01_a568c3d3,meeting0002,specific,1,True,5377,1382,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0002_specific_02_719df5ca,meeting0002,specific,2,True,5377,1382,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0002_specific_03_ed58ebe8,meeting0002,specific,3,True,5377,1382,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_00_7b6db32b,meeting0003,specific,0,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_01_d12053b5,meeting0003,specific,1,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_02_d6f8eac6,meeting0003,specific,2,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_03_f6aafcd8,meeting0003,specific,3,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_04_c8cbb094,meeting0003,specific,4,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
qmsum_test_meeting0003_specific_05_506a85ec,meeting0003,specific,5,True,13945,1497,utterance,prefix_preserve_turn_boundaries,Reference evidence may fall outside retained context.
