fixture_id,previous_t102c_bucket,improved_confidence_band,improved_outcome,reference_unigram_recall_old,reference_content_recall,reference_content_f1,source_keyword_overlap_old,source_content_recall,question_content_recall,entity_reference_recall,output_token_count,rationale_short
qmsum_meeting_qa_test_0015,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.1,0.2222222222222222,0.16326530612244897,0.15517241379310345,0.16981132075471697,0.2857142857142857,,85.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0036,unresolved_proxy_limitation,unresolved_deterministic_limitation,remaining_unexplained_uncertain,0.15,0.16666666666666666,0.11538461538461539,0.08333333333333333,0.08771929824561403,0.5714285714285714,,108.0,"Signals remain mixed after normalization, source split, and content-term reassessment."
qmsum_meeting_qa_test_0032,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.10869565217391304,0.11627906976744186,0.10416666666666667,0.1746031746031746,0.22413793103448276,0.3333333333333333,0.0,133.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0029,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.05263157894736842,0.05263157894736842,0.02857142857142857,0.15789473684210525,0.17647058823529413,0.5,0.0,144.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0014,source_reference_mismatch_possible,strong_proxy_support,reduced_uncertainty,0.23076923076923078,0.34375,0.2222222222222222,0.13846153846153847,0.171875,1.0,0.4,158.0,Normalized content terms align with the reference while source/question support remains adequate.
qmsum_meeting_qa_test_0070,evidence_miss_likely,hard_quality_risk,hard_risk,0.05555555555555555,0.16666666666666666,0.0967741935483871,0.030303030303030304,0.06153846153846154,0.25,0.0,89.0,The prior evidence-miss label remains hard risk because improved proxy support is still insufficient.
qmsum_meeting_qa_test_0076,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.05084745762711865,0.05263157894736842,0.07317073170731707,0.15625,0.12903225806451613,0.5,0.0,59.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0055,generic_or_under_specific,generic_or_under_specific,hard_risk,0.0,0.0,,0.08620689655172414,0.07272727272727272,0.2857142857142857,0.0,22.0,Output is too short or under-specific for deterministic QMSum quality comfort.
qmsum_meeting_qa_test_0098,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.08333333333333333,0.08333333333333333,0.04878048780487805,0.12727272727272726,0.11538461538461539,0.5714285714285714,0.0,87.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0028,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.18181818181818182,0.20930232558139536,0.1782178217821782,0.12903225806451613,0.1774193548387097,0.6666666666666666,0.25,134.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0030,proxy_false_negative,source_grounded_reference_mismatch,explained_proxy_limitation,0.13157894736842105,0.14705882352941177,0.14925373134328357,0.2222222222222222,0.21311475409836064,0.8333333333333334,0.0,75.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0065,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.10526315789473684,0.11764705882352941,0.07142857142857141,0.13333333333333333,0.14035087719298245,0.375,0.2,118.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0078,evidence_miss_likely,hard_quality_risk,hard_risk,0.07407407407407407,0.041666666666666664,0.03636363636363637,0.06896551724137931,0.12962962962962962,0.0,0.0,85.0,The prior evidence-miss label remains hard risk because improved proxy support is still insufficient.
qmsum_meeting_qa_test_0072,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.028985507246376812,0.047619047619047616,0.06382978723404256,0.15151515151515152,0.16923076923076924,0.2727272727272727,0.0,81.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0054,unresolved_proxy_limitation,moderate_proxy_support,reduced_uncertainty,0.17777777777777778,0.20930232558139536,0.1978021978021978,0.08695652173913043,0.11594202898550725,0.4444444444444444,0.625,115.0,Normalized content overlap improves enough to explain part of the old low-overlap warning.
qmsum_meeting_qa_test_0094,unresolved_proxy_limitation,unresolved_deterministic_limitation,remaining_unexplained_uncertain,0.13636363636363635,0.15,0.09090909090909091,0.06451612903225806,0.07936507936507936,0.2727272727272727,0.16666666666666666,104.0,"Signals remain mixed after normalization, source split, and content-term reassessment."
qmsum_meeting_qa_test_0058,source_reference_mismatch_possible,source_grounded_reference_mismatch,explained_proxy_limitation,0.044444444444444446,0.06818181818181818,0.07894736842105263,0.1076923076923077,0.140625,0.5555555555555556,0.0,83.0,Output is question-focused and source-grounded but remains lexically distant from the reference.
qmsum_meeting_qa_test_0001,unresolved_proxy_limitation,unresolved_deterministic_limitation,remaining_unexplained_uncertain,0.09615384615384616,0.10869565217391304,0.12345679012345678,0.0847457627118644,0.09259259259259259,0.6666666666666666,0.0,68.0,"Signals remain mixed after normalization, source split, and content-term reassessment."
