fixture_id,t106b_original_tokens,t106b_n_original,t106b_compressed_tokens,t114_original_tokens,t114_precompression_tokens,t114_n_original,t114_compressed_tokens,t106b_output_tokens,t114_output_tokens,t106b_cap_hit,t114_cap_hit,t106b_extracted_answer,t114_extracted_answer,t106b_strict_correct,t114_strict_correct,t106b_wrong_numeric,t114_wrong_numeric,t106b_invalid,t114_invalid,t106b_label,t114_label_task95b,t114_row_cap_hit_field,t106b_prompt_hash,t114_prompt_hash,t114_precompression_prompt_hash,difference_category
gsm8k_short_test_0001,16,16,8,103,103,16,8,130,184,False,False,2180,2180,False,False,True,True,False,False,strict_wrong_numeric,strict_wrong_numeric,False,e97c0a6085ab296469dbd88cc0e0319c5fb807872b83d68451a7d92cfcfdec64,86f2ec8c8f51b6887c5f8bf21b6b927bd11cc55cb1669c2ddab7310a3251ff74,9ad68c9456e2cabf9a86c79b24bc4d8dcfbb9f724c80eb35686177e900d534dc,prompt_difference
gsm8k_short_test_0002,16,16,8,97,97,16,8,96,111,False,False,1,1,True,True,False,False,False,False,strict_correct,strict_correct,False,851366c8b1f06a1007546ec481215757eb1fbfd2d763560ad5550764730f6461,a495c13c9f80b0bcfad586f8b3a96683cc7587b43eb0c063e35ef08f106fc8c4,e2a77573c3c99a06c6caa011d06ab1a5bb7b34aa0e53c23f561874dfcb927cc6,prompt_difference
gsm8k_short_test_0003,16,16,8,91,91,16,8,126,164,False,False,5,5,True,True,False,False,False,False,strict_correct,strict_correct,False,0b4f028a783a908d99ffb6a6bb577d33763ccd86354991a4b0c9d22020820e07,83258bc36dbafb0e158aa90042918d803db8e4b7a641c3ca57757ac125085b30,9fbf8587bc0aba1a993a13fbc413e5813714c8489ce0b3ed7cee6c6fbf5e310a,prompt_difference
gsm8k_short_test_0004,16,16,8,91,91,16,8,100,123,False,False,3,12,False,True,True,False,False,False,strict_wrong_numeric,strict_correct,False,00cc1e1bf4fa390be2d44f8d13570dc32f8996bee2f07bbfe40ef964a5f23641,a8dfde49cd725b17daa7cdb6a75e8892ac5b06785f5d5ca0cab0db64a1a129c3,efb4f97ab4b99f8b5b712bf5742e1164c599214597c50fd834e49b934e9fb2f1,prompt_difference
gsm8k_short_test_0005,16,16,8,104,104,16,8,113,132,False,False,273,273,True,True,False,False,False,False,strict_correct,strict_correct,False,e3c45e0a96242381d90dc98559b8a3d8f39390a0d8b017bff5c50f23afea4bad,d4e478fc969a78e3b6cbc79c51c6ed1a90cea27960d8f3beb84d3127a893554a,913dd53052d7a68db42fe7b6bc44f8c4f32e2de7a533d9b4f5b20916b867a9b3,prompt_difference
gsm8k_short_test_0006,16,16,8,119,119,16,8,69,187,False,False,45,45,True,True,False,False,False,False,strict_correct,strict_correct,False,2ec47193677bc08ff9f8a1b3e21cace7b0d8480778facb1fa138cefc01705ec4,43543359cd6f695529fd2bba0b8840c8ec3a8c718908a26ecf8d409bc57ee0e8,996284780c5978046c59e9820c4da9a392af531d8f5b880a5f2cff5beb27b3ab,prompt_difference
gsm8k_short_test_0007,16,16,8,68,68,16,8,58,65,False,False,21,21,True,True,False,False,False,False,strict_correct,strict_correct,False,df8485804949ba8bc06cce433f584c20b14eab09fc55b09f054af1cc099bdaec,838ce0dfe5c5d40391a024b7d1cb477b6d469ff8b08bd9503513b300a777ad6a,83d36fdb453e9167d1bbd73a3819b651508f76c40a84f313a750613b18a796d7,prompt_difference
gsm8k_short_test_0008,16,16,8,79,79,16,8,144,256,False,True,145,240,True,False,False,True,False,False,strict_correct,cap_limited_incomplete,True,04fa13aca80d88d9a8211d63f35ba929e63c1ea53ccfb08bf7e50cd359f54448,272b11a0f84598b8e7c2f994c3aa117889a749495f4d82caa5b77edb22bcf370,f03c8f4565ee8fbda1c0d21bc977baf8e7784eadbaaa1cd0380755916e22e627,prompt_difference
gsm8k_short_test_0009,16,16,8,84,84,16,8,63,95,False,False,60,60,True,True,False,False,False,False,strict_correct,strict_correct,False,f3580a90ce69c44eb0613dc7c41f23145bed0ec58a0df43b4cd539651869803a,a6a2f50e665064066210c91e3f9e7019efb202609d9cbee3692e1471bb8e0aad,dea5889dd9c4e9ef3c39a5263a38b8396c5022f5934aafb07459096391eec473,prompt_difference
gsm8k_short_test_0010,16,16,8,84,84,16,8,94,161,False,False,122,122,True,True,False,False,False,False,strict_correct,strict_correct,False,b53f2d836fd013fff544b5c7d1086595575e67db1173f9e0557facbe434e11fb,36f50b2c2b81618c31a41398b5d73bdcf0ad4d1b00600ca88399ed136eb0fd17,4ac7a0255681d9ce4991967563dfe9605f7b1701f2a960c92657bdc6662c3791,prompt_difference
