config,status,fixture_id,policy_override,policy_type,prompt_hash,output_tokens,cap_hit,extracted_answer,strict_correct,wrong_numeric,label,path
historical_t106b,ok,gsm8k_short_test_0008,True,gsm8k_concise_final_answer_v1,04fa13aca80d88d9a8211d63f35ba929e63c1ea53ccfb08bf7e50cd359f54448,144,False,145,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/historical_t106b.jsonl
historical_t106b,ok,gsm8k_short_test_0048,True,gsm8k_concise_final_answer_v1,4c2f3d1f004d6edc137c0741c36a8e4339d4d5ed8a8088fdab99468e0f120fbc,183,False,25,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/historical_t106b.jsonl
historical_t106b,ok,gsm8k_short_test_0031,True,gsm8k_concise_final_answer_v1,dc466ad059d5eba5dcc8b2e0d18269a07dc9ba01d03cf6dd641ca00c491d80f4,157,False,145,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/historical_t106b.jsonl
historical_t106b,ok,gsm8k_short_test_0011,True,gsm8k_concise_final_answer_v1,97486aa0d281964429ad1d794b7b36314cbbc4f0afdc4123608337cdcde2f7b1,142,False,29,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/historical_t106b.jsonl
historical_t106b,ok,gsm8k_short_test_0035,True,gsm8k_concise_final_answer_v1,9938c7d9ad59d1df2f9a41e9832927fa04d59a7e3470d8bdc6c4048c1e429fac,141,False,34,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/historical_t106b.jsonl
t114,ok,gsm8k_short_test_0008,,,272b11a0f84598b8e7c2f994c3aa117889a749495f4d82caa5b77edb22bcf370,256,True,2,False,False,cap_limited_incomplete,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114.jsonl
t114,ok,gsm8k_short_test_0048,,,274507b9e69182a22513ef8357631c23e058d33615d5c08a64817266951e5864,256,True,1,False,False,cap_limited_incomplete,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114.jsonl
t114,ok,gsm8k_short_test_0031,,,1872f14335a91da0de318fb0b6fe0aab095ef4ac527ab162a8de7d5046fdf8ab,256,True,105,False,False,cap_limited_incomplete,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114.jsonl
t114,ok,gsm8k_short_test_0011,,,2d2f73ddd03f0b0c84a8b6cfb9a3a01c95baf606eba56023ef80eb5c9e21a1f1,227,False,30,False,True,strict_wrong_numeric,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114.jsonl
t114,ok,gsm8k_short_test_0035,,,1c9fa2e1fbf5c7fc97bcd64c22a33bc3091793fefa2273b3cd099b280e550ac5,256,True,6,False,False,cap_limited_incomplete,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114.jsonl
t114_plus_t106b_policy,ok,gsm8k_short_test_0008,True,gsm8k_concise_final_answer_v1,04fa13aca80d88d9a8211d63f35ba929e63c1ea53ccfb08bf7e50cd359f54448,144,False,145,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114_plus_t106b_policy.jsonl
t114_plus_t106b_policy,ok,gsm8k_short_test_0048,True,gsm8k_concise_final_answer_v1,4c2f3d1f004d6edc137c0741c36a8e4339d4d5ed8a8088fdab99468e0f120fbc,183,False,25,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114_plus_t106b_policy.jsonl
t114_plus_t106b_policy,ok,gsm8k_short_test_0031,True,gsm8k_concise_final_answer_v1,dc466ad059d5eba5dcc8b2e0d18269a07dc9ba01d03cf6dd641ca00c491d80f4,157,False,145,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114_plus_t106b_policy.jsonl
t114_plus_t106b_policy,ok,gsm8k_short_test_0011,True,gsm8k_concise_final_answer_v1,97486aa0d281964429ad1d794b7b36314cbbc4f0afdc4123608337cdcde2f7b1,142,False,29,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114_plus_t106b_policy.jsonl
t114_plus_t106b_policy,ok,gsm8k_short_test_0035,True,gsm8k_concise_final_answer_v1,9938c7d9ad59d1df2f9a41e9832927fa04d59a7e3470d8bdc6c4048c1e429fac,141,False,34,True,False,strict_correct,results/phase_2_revalidation/task114r_gsm8k_reproduction_audit/controlled_ab/runs/t114_plus_t106b_policy.jsonl
