section,label,value,note
run,decision,PASS_WITH_CAVEAT,Task100B
run,row_count,100,expected 100
run,strict_correct_count,79,
run,cap_limited_incomplete_count,15,
run,final_answer_marker_count,85,
run,strict_wrong_numeric_count,6,
run,avg_t_compress_ms,17.35,
run,avg_e2e_time_s,2.88,
run,avg_tokens_per_second,59.83,
run,avg_tau_mean,5.63,
run,avg_R_actual,2.0,
run,max_vram_reserved_gib,4.43,
metadata,compressor_profile,light,
metadata,compressor_device_map,cuda,
metadata,requested_compressor_device_map,cuda,
comparison,light_gpu_n100_vs_task99r_light_gpu_n10,bounded_reference,Bounded reference comparison because sample size or setup differs.
comparison,light_gpu_n100_vs_task96_light_cpu_n30,bounded_reference,Bounded reference comparison because sample size or setup differs.
comparison,light_gpu_n100_vs_task96_large_cpu_n30,bounded_reference,Bounded reference comparison because sample size or setup differs.
comparison,light_gpu_n100_vs_dflash_r1_historical,historical_reference,Historical-only reference; settings differ and this is not an apples-to-apples claim.
