dimension,t106b,t114,same
execution_path,direct scripts/run_mvp.py T106B rerun,scripts/phase_2_revalidation/task114_canonical_matrix.py -> scripts/run_mvp.py,False
gsm8k_policy_suffix,Keep the solution concise. End with exactly one line in the format: Final answer: <number>. Do not continue after the final answer.,"End with exactly one line:
Final answer: <number>",False
gsm8k_policy_override_rows,100,0,False
prompt_hash_overlap,0/100 with T114 prompt_hash,0/100 with T106B prompt_hash,False
dataset_name,gsm8k_short,gsm8k_short,True
prompt_source,dataset,dataset,True
condition,CC-DFlash-R2,CC-DFlash-R2,True
compressor_model,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank,True
compressor_profile,light,light,True
compressor_device_map,cuda,cuda,True
requested_compressor_device_map,cuda,cuda,True
keep_rate,0.5,0.5,True
max_new_tokens,256,256,True
target_path,models/Qwen3-4B,models/Qwen3-4B,True
draft_path,models/Qwen3-4B-DFlash-b16,models/Qwen3-4B-DFlash-b16,True
tokenizer_path,models/Qwen3-4B,models/Qwen3-4B,True
block_size,16,16,True
device,cuda:0,cuda:0,True
avg_N_original,16.0,16.0,True
avg_original_input_tokens_field,16.0,103.18,False
avg_input_tokens_after_compression,110.51,94.51,False
avg_output_tokens,110.5,168.01,False
